Year,Host,Winner,Runners-Up,Third,Fourth,GoalsScored,QualifiedTeams,MatchesPlayed,Attendance
1930,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,0.590549
1934,Italy,Italy,Czechoslovakia,Germany,Austria,70,16,17,0.363
1938,France,Italy,Hungary,Brazil,Sweden,84,15,18,0.3757
1950,Brazil,Uruguay,Brazil,Sweden,Spain,88,13,22,1.045246
1954,Switzerland,Germany FR,Hungary,Austria,Uruguay,140,16,26,0.768607
1958,Sweden,Brazil,Sweden,France,Germany FR,126,16,35,0.81981
1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,89,16,32,0.893172
1966,England,England,Germany FR,Portugal,Soviet Union,89,16,32,1.563135
1970,Mexico,Brazil,Italy,Germany FR,Uruguay,95,16,32,1.603975
1974,Germany,Germany FR,Netherlands,Poland,Brazil,97,16,38,1.865753
1978,Argentina,Argentina,Netherlands,Brazil,Italy,102,16,38,1.545791
1982,Spain,Italy,Germany FR,Poland,France,146,24,52,2.109723
1986,Mexico,Argentina,Germany FR,France,Belgium,132,24,52,2.394031
1990,Italy,Germany FR,Argentina,Italy,England,115,24,52,2.516215
1994,USA,Brazil,Italy,Sweden,Bulgaria,141,24,52,3.587538
1998,France,France,Brazil,Croatia,Netherlands,171,32,64,2.7851
2002,Korea/Japan,Brazil,Germany,Turkey,Korea Republic,161,32,64,2.705197
2006,Germany,Italy,France,Germany,Portugal,147,32,64,3.359439
2010,South Africa,Spain,Netherlands,Germany,Uruguay,145,32,64,3.178856
2014,Brazil,Germany,Argentina,Netherlands,Brazil,171,32,64,3.38681
